dupl,new
752.0,1998389.0
753.0,1998390.0
754.0,1998391.0
755.0,1998392.0
756.0,1998393.0
757.0,1998394.0
758.0,1998395.0
759.0,1998396.0
760.0,1998397.0
761.0,1998398.0
762.0,1998399.0
763.0,1998400.0
764.0,1998401.0
765.0,1998402.0
766.0,1998403.0
767.0,1998404.0
768.0,1998405.0
769.0,1998406.0
770.0,1998407.0
771.0,1998408.0
772.0,1998409.0
773.0,1998410.0
774.0,1998411.0
775.0,1998412.0
776.0,1998413.0
777.0,1998414.0
778.0,1998415.0
779.0,1998416.0
780.0,1998417.0
781.0,1998418.0
782.0,1998419.0
783.0,1998420.0
784.0,1998421.0
785.0,1998422.0
786.0,1998423.0
787.0,1998424.0
788.0,1998425.0
789.0,1998426.0
790.0,1998427.0
791.0,1998428.0
792.0,1998429.0
793.0,1998430.0
794.0,1998431.0
795.0,1998432.0
796.0,1998433.0
797.0,1998434.0
798.0,1998435.0
799.0,1998436.0
800.0,1998437.0
801.0,1998438.0
802.0,1998439.0
803.0,1998440.0
804.0,1998441.0
805.0,1998442.0
806.0,1998443.0
807.0,1998444.0
808.0,1998445.0
809.0,1998446.0
810.0,1998447.0
811.0,1998448.0
812.0,1998449.0
813.0,1998450.0
814.0,1998451.0
815.0,1998452.0
816.0,1998453.0
817.0,1998454.0
818.0,1998455.0
819.0,1998456.0
820.0,1998457.0
821.0,1998458.0
822.0,1998459.0
823.0,1998460.0
824.0,1998461.0
825.0,1998462.0
826.0,1998463.0
827.0,1998464.0
828.0,1998465.0
829.0,1998466.0
830.0,1998467.0
831.0,1998468.0
832.0,1998469.0
833.0,1998470.0
834.0,1998471.0
835.0,1998472.0
836.0,1998473.0
837.0,1998474.0
838.0,1998475.0
839.0,1998476.0
840.0,1998477.0
841.0,1998478.0
842.0,1998479.0
843.0,1998480.0
844.0,1998481.0
845.0,1998482.0
846.0,1998483.0
847.0,1998484.0
848.0,1998485.0
849.0,1998486.0
850.0,1998487.0
851.0,1998488.0
852.0,1998489.0
853.0,1998490.0
854.0,1998491.0
855.0,1998492.0
856.0,1998493.0
857.0,1998494.0
858.0,1998495.0
859.0,1998496.0
860.0,1998497.0
861.0,1998498.0
862.0,1998499.0
863.0,1998500.0
864.0,1998501.0
865.0,1998502.0
866.0,1998503.0
867.0,1998504.0
868.0,1998505.0
869.0,1998506.0
870.0,1998507.0
871.0,1998508.0
872.0,1998509.0
873.0,1998510.0
874.0,1998511.0
875.0,1998512.0
876.0,1998513.0
877.0,1998514.0
878.0,1998515.0
879.0,1998516.0
880.0,1998517.0
881.0,1998518.0
882.0,1998519.0
883.0,1998520.0
884.0,1998521.0
885.0,1998522.0
886.0,1998523.0
887.0,1998524.0
888.0,1998525.0
889.0,1998526.0
890.0,1998527.0
891.0,1998528.0
892.0,1998529.0
893.0,1998530.0
894.0,1998531.0
895.0,1998532.0
896.0,1998533.0
897.0,1998534.0
898.0,1998535.0
899.0,1998536.0
900.0,1998537.0
901.0,1998538.0
902.0,1998539.0
903.0,1998540.0
904.0,1998541.0
905.0,1998542.0
906.0,1998543.0
907.0,1998544.0
908.0,1998545.0
909.0,1998546.0
910.0,1998547.0
911.0,1998548.0
912.0,1998549.0
913.0,1998550.0
914.0,1998551.0
915.0,1998552.0
916.0,1998553.0
917.0,1998554.0
918.0,1998555.0
919.0,1998556.0
920.0,1998557.0
921.0,1998558.0
922.0,1998559.0
923.0,1998560.0
924.0,1998561.0
925.0,1998562.0
926.0,1998563.0
927.0,1998564.0
928.0,1998565.0
929.0,1998566.0
930.0,1998567.0
931.0,1998568.0
932.0,1998569.0
933.0,1998570.0
934.0,1998571.0
935.0,1998572.0
936.0,1998573.0
937.0,1998574.0
938.0,1998575.0
939.0,1998576.0
940.0,1998577.0
941.0,1998578.0
942.0,1998579.0
943.0,1998580.0
944.0,1998581.0
945.0,1998582.0
946.0,1998583.0
947.0,1998584.0
948.0,1998585.0
949.0,1998586.0
950.0,1998587.0
951.0,1998588.0
952.0,1998589.0
953.0,1998590.0
954.0,1998591.0
955.0,1998592.0
956.0,1998593.0
957.0,1998594.0
958.0,1998595.0
959.0,1998596.0
960.0,1998597.0
961.0,1998598.0
962.0,1998599.0
963.0,1998600.0
964.0,1998601.0
965.0,1998602.0
966.0,1998603.0
967.0,1998604.0
968.0,1998605.0
969.0,1998606.0
970.0,1998607.0
971.0,1998608.0
972.0,1998609.0
973.0,1998610.0
974.0,1998611.0
975.0,1998612.0
976.0,1998613.0
977.0,1998614.0
978.0,1998615.0
979.0,1998616.0
